ID NUMBER,Building Address,City,State,Zip,PropertyType,Building Name,Latitude,Longitude,Number Of Stories,OPN,Star Rating,Submarket Cluster,Submarket Name,PROJECT NAME
1526,8 W Madison St,Chicago,IL,60602-430,Multi-Family,,41.8818785,-87.6282652,14,4,3 Star,Downtown Chicago MF,The Loop MF,Loop
1527,80 W Harrison St,Chicago,IL,606051512,Multi-Family,Harrison Street Lofts,41.8747993,-87.6303585,14,Removed - L yellow,3 Star,Downtown Chicago MF,South Loop MF,Loop
1558,701-721 S Dearborn St,Chicago,IL,60605,Multi-Family,,41.8730683,-87.6288716,9,Removed - L yellow,2 Star,Downtown Chicago MF,South Loop MF,Loop
1599,900 W Madison St,Chicago,IL,606072633,Multi-Family,,41.881978,-87.650276,9,7,4 Star,Metro Chicago,River West,West Loop 
1608,901 W Madison St,Chicago,IL,60607,Multi-Family,Madison 901,41.881418,-87.650319,11,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
1610,901 W Washington Blvd,Chicago,IL,606072203,Multi-Family,909 Washington,41.882963,-87.649913,9,7,4 Star,Metro Chicago,River West,West Loop 
1614,910 W Lake St,Chicago,IL,60607-171,Multi-Family,Lake Street Lofts,41.8858695,-87.6501269,6,"Removed - WL pink
",3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
1629,922 W Washington Blvd,Chicago,IL,60607,Multi-Family,Circa 922,41.8832488,-87.6505263,10,"Removed - WL pink
",5 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
1654,945-955 W Fulton Market,Chicago,IL,606071324,Multi-Family,,41.886509,-87.651835,3,"Removed - WL pink
",3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
1659,949 W Madison St,Chicago,IL,60607-266,Multi-Family,,41.881422,-87.651832,6,7,3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
1667,333 N. Canal St , Chicago ,IL,60606,Multi-Family,The Residences at Riverbend,41.8875034,-87.6399805,38,1,5 Star,Metro Chicago,West Loop MF ,West Loop 
1668,555 W Kinzie St ,Chicago,IL,60654,Multi-Family,Alta at K Station ,41.8887527,-87.6421758,41,1,5 Star,Metro Chicago,West Loop MF ,West Loop 
1669,330 N. Jefferson ,Chicago,IL,60661,Multi-Family,Kinzie Station Condominium Association,41.8887527,-87.6421758,25,1,4 Star,Metro Chicago,West Loop MF ,West Loop 
1700,353 N Des Plaines ,Chicago,IL,60661,Multi-Family,Echelon at K Station,41.888671,-87.643905,39,1,5 Star,Downtown Chicago MF,West Loop MF ,West Loop 
1701,670 W. Wayman ,Chicago,IL,60661,Multi-Family,Trio Apartments,41.8876293,-87.6450471,22,1,5 Star,Metro Chicago,West Loop MF ,West Loop 
1702,365 N. Halsted ,Chicago,IL,60661,Multi-Family,K2 Apartments,41.888758,-87.646471,34,1,5 Star,Metro Chicago,West Loop MF ,West Loop 
1703,737 W. Washington ,Chicago,IL,60661,Multi-Family,Skybridge Condominiums,41.883482,-87.647044,2,7,2 Star,Metro Chicago,West Loop MF ,West Loop 
